seed,experiment,removed_type,removed_name,kept_features,feature_count,acc,prec,rec,f1,auc,tp,tn,fp,fn,threshold,threshold_source,delta_f1,delta_auc
42,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999986877002078,2170,3861,0,1,0.18,artifact,0.0,0.0
42,drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999835366026062,2168,3861,0,3,0.18,artifact,0.0004610418813865147,1.5151097601640018e-05
42,drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,0.9997537051889884,2169,3861,0,2,0.18,artifact,0.00023046782526914278,0.00024498251121940484
42,drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,0.9985079575596817,0.9976979742173112,0.9981575310916628,0.9979276997467189,0.9999945122008687,2167,3856,5,4,0.18,artifact,0.0018419385854626658,4.17549933917627e-06
43,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998838018183942,2170,3861,0,1,0.18,artifact,0.0,0.0
43,drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999859226022285,2168,3861,0,3,0.18,artifact,0.0004610418813865147,-0.00010212078383431411
43,drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,0.9996597564538605,2169,3861,0,2,0.18,artifact,0.00023046782526914278,0.00022404536453368706
43,drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,0.9991710875331565,0.9995387453874539,0.9981575310916628,0.9988476607513251,0.9999984491002455,2167,3860,1,4,0.18,artifact,0.0009219775808564368,-0.00011464728185128781
44,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999982105002833,2168,3859,2,3,0.18,artifact,0.0,0.0
44,drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999587222065343,2168,3861,0,3,0.18,artifact,-0.0004604047898874031,3.9488293749001535e-05
44,drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9997463085901592,2168,3861,0,3,0.18,artifact,-0.0004604047898874031,0.0002519019101240305
44,drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,0.9986737400530504,0.9986168741355463,0.9976969138645785,0.9981566820276497,0.9999866384021152,2166,3858,3,5,0.18,artifact,0.0006915096332579251,1.1572098168044498e-05
45,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999597959063644,2170,3861,0,1,0.18,artifact,0.0,0.0
45,drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999875928019641,2168,3861,0,3,0.18,artifact,0.0004610418813865147,-2.7796895599729865e-05
45,drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,0.9996684350132626,1.0,0.9990787655458314,0.9995391705069124,0.9998818333687056,2169,3861,0,2,0.18,artifact,0.00023046782526914278,7.796253765879335e-05
45,drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,0.9991710875331565,0.9995387453874539,0.9981575310916628,0.9988476607513251,0.9999906946014729,2167,3860,1,4,0.18,artifact,0.0009219775808564368,-3.089869510852772e-05
46,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999287779112744,2170,3861,0,1,0.18,artifact,0.0,0.0
46,drop_group_structure,group,structure,"sq,dq,puncts,comments,logic,arith,sqlkw,sqlfunc",8,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9999805541030783,2168,3861,0,3,0.18,artifact,0.0004610418813865147,-5.1776191803853955e-05
46,drop_group_obfuscation,group,obfuscation,"qlen,wcount,spaces,logic,alpha,sqlkw,sqlfunc",7,0.9995026525198939,1.0,0.9986181483187471,0.9993085964507951,0.9997262065433414,2168,3861,0,3,0.18,artifact,0.0004610418813865147,0.00020257136793300212
46,drop_group_semantic,group,semantic,"qlen,wcount,sq,dq,puncts,comments,spaces,arith,alpha",9,0.9990053050397878,0.9986181483187471,0.9986181483187471,0.9986181483187471,0.9999933192010576,2168,3858,3,3,0.18,artifact,0.0011514900134345085,-6.454128978317097e-05
